;Group;Condition;Repetition;Batch;Sample
51;batch3_WT_PNSL_3;WTP_PNSL;3;3;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch3
52;batch3_WT_PNSL_4;WTP_PNSL;4;3;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch3
53;batch3_WT_SHAM_1;WTP_SHAM;1;3;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch3
54;batch3_WT_SHAM_2;WTP_SHAM;2;3;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch3
55;batch3_WT_SHAM_3;WTP_SHAM;3;3;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch3
56;batch3_WT_SHAM_4;WTP_SHAM;4;3;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch3
57;CMV_PNSL_1;CMV_PNSL;1;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
58;CMV_PNSL_2;CMV_PNSL;2;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
59;CMV_PNSL_3;CMV_PNSL;3;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
60;CMV_PNSL_4;CMV_PNSL;4;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
61;CMV_SHAM_1;CMV_SHAM;1;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
62;CMV_SHAM_2;CMV_SHAM;2;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
63;CMV_SHAM_3;CMV_SHAM;3;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
64;CMV_SHAM_4;CMV_SHAM;4;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
65;DLX_PNSL_1;DLX_PNSL;1;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
66;DLX_PNSL_2;DLX_PNSL;2;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
67;DLX_PNSL_3;DLX_PNSL;3;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
68;DLX_PNSL_4;DLX_PNSL;4;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
69;DLX_SHAM_1;DLX_SHAM;1;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
70;DLX_SHAM_123;DLX_SHAM;2;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
71;DLX_SHAM_2;DLX_SHAM;3;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
72;DLX_SHAM_3;DLX_SHAM;4;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
73;NAV_PNSL_1;NAV_PNSL;1;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
74;NAV_PNSL_2;NAV_PNSL;2;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
75;NAV_PNSL_3;NAV_PNSL;3;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
76;NAV_PNSL_4;NAV_PNSL;4;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
77;NAV_SHAM_1;NAV_SHAM;1;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
78;NAV_SHAM_2;NAV_SHAM;2;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
79;NAV_SHAM_3;NAV_SHAM;3;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
80;NAV_SHAM_4;NAV_SHAM;4;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
81;WT_PNSL_1;WTP_PNSL;1;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
82;WT_PNSL_2;WTP_PNSL;2;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
83;WT_PNSL_3;WTP_PNSL;3;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
84;WT_PNSL_4;WTP_PNSL;4;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
85;WT_SHAM_1;WTP_SHAM;1;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
86;WT_SHAM_2;WTP_SHAM;2;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
87;WT_SHAM_3;WTP_SHAM;3;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
88;WT_SHAM_4;WTP_SHAM;4;2;/bi/ala/scratch/plabaj/fromMCB/201810_pain/data/batch2
